"evo_line","rep","sp","count","phage","plasmid","plas_carry","time","dil","dil_fact","froz","dens","dens_pls","logden","logdpl","plas_prop"
"PL",3,"V",78,"N","Y",2,"T2",10000,40,2,62400000,1600000,7.79518458968242,6.20411998265593,0.0256410256410256
"PL",3,"O",94,"N","Y",135,"T2",10000,40,2,75200000,108000000,7.87621784059164,8.03342375548695,1.43617021276596
"PL",4,"P",26,"N","Y",0,"T2",10000,40,2,20800000,0,7.31806333496276,-Inf,0
"PL",4,"V",86,"N","Y",2,"T2",10000,40,2,68800000,1600000,7.83758843823551,6.20411998265593,0.0232558139534884
"PL",4,"O",138,"N","Y",131,"T2",10000,40,2,110400000,104800000,8.04296907339318,8.02036128264771,0.949275362318841
"PL",5,"P",36,"N","Y",0,"T2",10000,40,2,28800000,0,7.45939248775923,-Inf,0
"PL",5,"V",76,"N","Y",4,"T2",10000,40,2,60800000,3200000,7.78390357927274,6.50514997831991,0.0526315789473684
"PL",5,"O",112,"N","Y",140,"T2",10000,40,2,89600000,112000000,7.95230800966212,8.04921802267018,1.25
"PL",6,"P",40,"N","Y",0,"T2",10000,40,2,32000000,0,7.50514997831991,-Inf,0
"PL",6,"V",108,"N","Y",2,"T2",10000,40,2,86400000,1600000,7.93651374247889,6.20411998265593,0.0185185185185185
"PL",6,"O",122,"N","Y",147,"T2",10000,40,2,97600000,117600000,7.98944981766669,8.07040732174012,1.20491803278689
"P",1,"P",38,"Y","N",NA,"T2",10000,40,2,30400000,NA,7.48287358360875,NA,NA
"P",1,"V",108,"Y","N",NA,"T2",10000,40,2,86400000,NA,7.93651374247889,NA,NA
"P",1,"O",36,"Y","N",NA,"T2",10000,40,2,28800000,NA,7.45939248775923,NA,NA
"P",2,"P",88,"Y","N",NA,"T2",10000,40,2,70400000,NA,7.84757265914211,NA,NA
"P",2,"V",104,"Y","N",NA,"T2",10000,40,2,83200000,NA,7.92012332629072,NA,NA
"P",2,"O",46,"Y","N",NA,"T2",10000,40,2,36800000,NA,7.56584781867352,NA,NA
"P",3,"P",NA,"Y","N",NA,"T2",10000,40,2,NA,NA,NA,NA,NA
"P",3,"V",NA,"Y","N",NA,"T2",10000,40,2,NA,NA,NA,NA,NA
"P",3,"O",NA,"Y","N",NA,"T2",10000,40,2,NA,NA,NA,NA,NA
"P",4,"P",48,"Y","N",NA,"T2",10000,40,2,38400000,NA,7.58433122436753,NA,NA
"P",4,"V",94,"Y","N",NA,"T2",10000,40,2,75200000,NA,7.87621784059164,NA,NA
"P",4,"O",56,"Y","N",NA,"T2",10000,40,2,44800000,NA,7.65127801399814,NA,NA
"P",5,"P",42,"Y","N",NA,"T2",10000,40,2,33600000,NA,7.52633927738984,NA,NA
"P",5,"V",100,"Y","N",NA,"T2",10000,40,2,80000000,NA,7.90308998699194,NA,NA
"P",5,"O",84,"Y","N",NA,"T2",10000,40,2,67200000,NA,7.82736927305382,NA,NA
"P",6,"P",26,"Y","N",NA,"T2",10000,40,2,20800000,NA,7.31806333496276,NA,NA
"P",6,"V",96,"Y","N",NA,"T2",10000,40,2,76800000,NA,7.88536122003151,NA,NA
"P",6,"O",80,"Y","N",NA,"T2",10000,40,2,64000000,NA,7.80617997398389,NA,NA
"C",1,"P",80,"N","N",NA,"T2",10000,40,2,64000000,NA,7.80617997398389,NA,NA
"C",1,"V",224,"N","N",NA,"T2",10000,40,2,179200000,NA,8.25333800532611,NA,NA
"C",1,"O",172,"N","N",NA,"T2",10000,40,2,137600000,NA,8.13861843389949,NA,NA
"C",2,"P",62,"N","N",NA,"T2",10000,40,2,49600000,NA,7.6954816764902,NA,NA
"C",2,"V",162,"N","N",NA,"T2",10000,40,2,129600000,NA,8.11260500153457,NA,NA
"C",2,"O",168,"N","N",NA,"T2",10000,40,2,134400000,NA,8.12839926871781,NA,NA
"C",3,"P",27,"N","N",NA,"T2",10000,40,2,21600000,NA,7.33445375115093,NA,NA
"C",3,"V",148,"N","N",NA,"T2",10000,40,2,118400000,NA,8.0733517023869,NA,NA
"C",3,"O",140,"N","N",NA,"T2",10000,40,2,112000000,NA,8.04921802267018,NA,NA
"C",4,"P",18,"N","N",NA,"T2",10000,40,2,14400000,NA,7.15836249209525,NA,NA
"C",4,"V",60,"N","N",NA,"T2",10000,40,2,48000000,NA,7.68124123737559,NA,NA
"C",4,"O",28,"N","N",NA,"T2",10000,40,2,22400000,NA,7.35024801833416,NA,NA
"C",5,"P",58,"N","N",NA,"T2",10000,40,2,46400000,NA,7.66651798055488,NA,NA
"C",5,"V",86,"N","N",NA,"T2",10000,40,2,68800000,NA,7.83758843823551,NA,NA
"C",5,"O",76,"N","N",NA,"T2",10000,40,2,60800000,NA,7.78390357927274,NA,NA
"C",6,"P",28,"N","N",NA,"T2",10000,40,2,22400000,NA,7.35024801833416,NA,NA
"C",6,"V",100,"N","N",NA,"T2",10000,40,2,80000000,NA,7.90308998699194,NA,NA
"C",6,"O",62,"N","N",NA,"T2",10000,40,2,49600000,NA,7.6954816764902,NA,NA
